0/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
47/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.5751017928123474, q_loss : 0.16030585765838623, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
48/20000, episode_reward : 1, episode_length : 8, CTR : 0.125, a_loss : -0.3078358471393585, q_loss : 0.17573249340057373, SCL Loss : 0×0, ICL Loss : 8×1.0, UCL Loss : 0×0
49/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.35455644130706787, q_loss : 0.04474432021379471, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
50/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.43901747465133667, q_loss : 0.18722227215766907, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
51/20000, episode_reward : 0, episode_length : 6, CTR : 0.0, a_loss : -0.543328046798706, q_loss : 0.16985882818698883, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
52/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.45221272110939026, q_loss : 0.04478118196129799, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
53/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.4617505967617035, q_loss : 0.03118409588932991, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
54/20000, episode_reward : 0, episode_length : 8, CTR : 0.0, a_loss : -0.2773754298686981, q_loss : 0.16864219307899475, SCL Loss : 0×0, ICL Loss : 8×1.0, UCL Loss : 0×0
55/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.15565796196460724, q_loss : 0.033683836460113525, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
56/20000, episode_reward : 10, episode_length : 1, CTR : 1.0, a_loss : -0.19803570210933685, q_loss : 0.17105619609355927, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
57/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.5318971276283264, q_loss : 0.3854439854621887, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
58/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.7236483097076416, q_loss : 0.261286199092865, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
59/20000, episode_reward : 1, episode_length : 4, CTR : 0.25, a_loss : -0.4224773347377777, q_loss : 0.18685171008110046, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
60/20000, episode_reward : 1, episode_length : 4, CTR : 0.25, a_loss : -0.3073127865791321, q_loss : 0.18430393934249878, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
61/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.3342195153236389, q_loss : 0.025466017425060272, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
62/20000, episode_reward : 0, episode_length : 26, CTR : 0.0, a_loss : -0.4340861141681671, q_loss : 0.09346237033605576, SCL Loss : 0×0, ICL Loss : 26×1.0, UCL Loss : 0×0
63/20000, episode_reward : 2, episode_length : 9, CTR : 0.1111111111111111, a_loss : -0.42939072847366333, q_loss : 0.083159439265728, SCL Loss : 0×0, ICL Loss : 9×1.0, UCL Loss : 0×0
64/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : -0.43710172176361084, q_loss : 0.01705116406083107, SCL Loss : 0×0, ICL Loss : 10×1.0, UCL Loss : 0×0
65/20000, episode_reward : 16, episode_length : 100, CTR : 0.11, a_loss : -0.5342060923576355, q_loss : 0.02512243390083313, SCL Loss : 0×0, ICL Loss : 100×1.0, UCL Loss : 0×0
66/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.46366727352142334, q_loss : 0.027927737683057785, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
67/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : -0.5989910364151001, q_loss : 0.036697082221508026, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
68/20000, episode_reward : 0, episode_length : 6, CTR : 0.0, a_loss : -0.4002365469932556, q_loss : 0.07741935551166534, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
69/20000, episode_reward : 2, episode_length : 9, CTR : 0.1111111111111111, a_loss : -0.5010663270950317, q_loss : 0.07641374319791794, SCL Loss : 0×0, ICL Loss : 9×1.0, UCL Loss : 0×0
70/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.5282549262046814, q_loss : 0.019349034875631332, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
71/20000, episode_reward : 0, episode_length : 7, CTR : 0.0, a_loss : -0.5299290418624878, q_loss : 0.07527022063732147, SCL Loss : 0×0, ICL Loss : 7×1.0, UCL Loss : 0×0
72/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.39641809463500977, q_loss : 0.024755090475082397, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
73/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.40904849767684937, q_loss : 0.0709276869893074, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
74/20000, episode_reward : 1, episode_length : 4, CTR : 0.25, a_loss : -0.2949204444885254, q_loss : 0.011441984213888645, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
75/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.28127992153167725, q_loss : 0.07027365267276764, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
76/20000, episode_reward : 2, episode_length : 14, CTR : 0.07142857142857142, a_loss : -0.5658009052276611, q_loss : 0.02150557190179825, SCL Loss : 0×0, ICL Loss : 14×1.0, UCL Loss : 0×0
