0/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : 0, q_loss : 0
12347/20000, episode_reward : 15, episode_length : 10, CTR : 0.5, a_loss : -27.76984405517578, q_loss : 0.28163260221481323
12348/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -27.380104064941406, q_loss : 0.09839792549610138
12349/20000, episode_reward : 40, episode_length : 8, CTR : 1.0, a_loss : -29.899065017700195, q_loss : 0.20778942108154297
12350/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -24.108213424682617, q_loss : 0.2361900508403778
12351/20000, episode_reward : 4, episode_length : 1, CTR : 1.0, a_loss : -26.278573989868164, q_loss : 0.11759032309055328
12352/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -24.846506118774414, q_loss : 0.16974645853042603
12353/20000, episode_reward : 30, episode_length : 9, CTR : 0.6666666666666666, a_loss : -18.79953956604004, q_loss : 0.09336090087890625
12354/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -20.369409561157227, q_loss : 0.06353557854890823
12355/20000, episode_reward : 19, episode_length : 4, CTR : 1.0, a_loss : -18.17984390258789, q_loss : 0.13392172753810883
12356/20000, episode_reward : 217, episode_length : 59, CTR : 0.8813559322033898, a_loss : -19.592195510864258, q_loss : 0.08318841457366943
12357/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -19.47964096069336, q_loss : 0.08076916635036469
12358/20000, episode_reward : 20, episode_length : 5, CTR : 0.8, a_loss : -20.670543670654297, q_loss : 0.15888507664203644
12359/20000, episode_reward : 25, episode_length : 6, CTR : 0.8333333333333334, a_loss : -21.01342010498047, q_loss : 0.13746458292007446
12360/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -21.859874725341797, q_loss : 0.08254679292440414
12361/20000, episode_reward : 58, episode_length : 17, CTR : 0.9411764705882353, a_loss : -18.264854431152344, q_loss : 0.13088777661323547
12362/20000, episode_reward : 18, episode_length : 3, CTR : 1.0, a_loss : -18.604995727539062, q_loss : 0.12540388107299805
12363/20000, episode_reward : 39, episode_length : 9, CTR : 0.8888888888888888, a_loss : -22.56810760498047, q_loss : 0.3512001037597656
12364/20000, episode_reward : 20, episode_length : 6, CTR : 0.6666666666666666, a_loss : -19.231250762939453, q_loss : 0.13299259543418884
12365/20000, episode_reward : 17, episode_length : 6, CTR : 0.6666666666666666, a_loss : -21.845129013061523, q_loss : 0.11353799700737
12366/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -23.52246856689453, q_loss : 0.08894795179367065
12367/20000, episode_reward : 8, episode_length : 2, CTR : 1.0, a_loss : -24.434097290039062, q_loss : 0.1464255005121231
12368/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -24.200252532958984, q_loss : 0.1514328271150589
12369/20000, episode_reward : 15, episode_length : 4, CTR : 0.75, a_loss : -21.90043067932129, q_loss : 0.07926017045974731
12370/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -23.445987701416016, q_loss : 0.18351098895072937
12371/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -24.674705505371094, q_loss : 0.1407792717218399
12372/20000, episode_reward : 8, episode_length : 2, CTR : 1.0, a_loss : -20.435937881469727, q_loss : 0.2230149507522583
12373/20000, episode_reward : 35, episode_length : 9, CTR : 0.8888888888888888, a_loss : -17.817581176757812, q_loss : 0.08084278553724289
12374/20000, episode_reward : 12, episode_length : 3, CTR : 1.0, a_loss : -18.924949645996094, q_loss : 0.11138428002595901
12375/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -18.197940826416016, q_loss : 0.10384664684534073
12376/20000, episode_reward : 29, episode_length : 7, CTR : 1.0, a_loss : -18.297948837280273, q_loss : 0.14121216535568237
12377/20000, episode_reward : 10, episode_length : 5, CTR : 0.6, a_loss : -17.07485008239746, q_loss : 0.11068423837423325
12378/20000, episode_reward : 43, episode_length : 13, CTR : 0.9230769230769231, a_loss : -23.607215881347656, q_loss : 0.0710601806640625
12379/20000, episode_reward : 38, episode_length : 14, CTR : 0.7142857142857143, a_loss : -20.726882934570312, q_loss : 0.07948286831378937
12380/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -20.14667510986328, q_loss : 0.1276819407939911
12381/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -22.789020538330078, q_loss : 0.1982332468032837
12382/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -22.96377944946289, q_loss : 0.10733101516962051
12383/20000, episode_reward : 4, episode_length : 2, CTR : 0.5, a_loss : -18.521379470825195, q_loss : 0.1607038378715515
12384/20000, episode_reward : 9, episode_length : 3, CTR : 0.6666666666666666, a_loss : -25.531902313232422, q_loss : 0.15090245008468628
12385/20000, episode_reward : 23, episode_length : 8, CTR : 0.875, a_loss : -21.023357391357422, q_loss : 0.11374965310096741
12386/20000, episode_reward : 67, episode_length : 15, CTR : 0.9333333333333333, a_loss : -17.287246704101562, q_loss : 0.10774386674165726
12387/20000, episode_reward : 20, episode_length : 5, CTR : 0.8, a_loss : -23.010541915893555, q_loss : 0.08793975412845612
12388/20000, episode_reward : 13, episode_length : 10, CTR : 0.7, a_loss : -22.482891082763672, q_loss : 0.07526969909667969
12389/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -24.2453670501709, q_loss : 0.15505370497703552
12390/20000, episode_reward : 58, episode_length : 11, CTR : 0.9090909090909091, a_loss : -24.83749008178711, q_loss : 0.09540516138076782
12391/20000, episode_reward : 10, episode_length : 3, CTR : 1.0, a_loss : -21.13250732421875, q_loss : 0.11188427358865738
12392/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -20.53205108642578, q_loss : 0.11031301319599152
12393/20000, episode_reward : 6, episode_length : 3, CTR : 0.6666666666666666, a_loss : -20.336015701293945, q_loss : 0.1081649586558342
12394/20000, episode_reward : 17, episode_length : 7, CTR : 0.7142857142857143, a_loss : -21.098060607910156, q_loss : 0.15516361594200134
12395/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -24.12985610961914, q_loss : 0.11743516474962234
12396/20000, episode_reward : 9, episode_length : 3, CTR : 0.6666666666666666, a_loss : -19.606124877929688, q_loss : 0.07834957540035248
12397/20000, episode_reward : 10, episode_length : 8, CTR : 0.625, a_loss : -25.009593963623047, q_loss : 0.10922308266162872
12398/20000, episode_reward : 55, episode_length : 28, CTR : 0.5714285714285714, a_loss : -23.91010856628418, q_loss : 0.03768019750714302
12399/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -19.292613983154297, q_loss : 0.06687996536493301
12400/20000, episode_reward : 14, episode_length : 3, CTR : 1.0, a_loss : -19.753124237060547, q_loss : 0.10574677586555481
12401/20000, episode_reward : 7, episode_length : 8, CTR : 0.5, a_loss : -22.76486587524414, q_loss : 0.08704415708780289
12402/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -24.282005310058594, q_loss : 0.0912904441356659
12403/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -23.01753807067871, q_loss : 0.12417805939912796
12404/20000, episode_reward : 37, episode_length : 8, CTR : 1.0, a_loss : -20.763057708740234, q_loss : 0.09560558944940567
12405/20000, episode_reward : 75, episode_length : 29, CTR : 0.8275862068965517, a_loss : -20.743942260742188, q_loss : 0.14166894555091858
12406/20000, episode_reward : 166, episode_length : 41, CTR : 0.926829268292683, a_loss : -18.62180519104004, q_loss : 0.08243188261985779
12407/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -24.598072052001953, q_loss : 0.0855410099029541
12408/20000, episode_reward : 32, episode_length : 8, CTR : 0.875, a_loss : -26.018741607666016, q_loss : 0.1981213539838791
12409/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -26.46076011657715, q_loss : 0.10531608760356903
12410/20000, episode_reward : 36, episode_length : 9, CTR : 0.8888888888888888, a_loss : -19.3081111907959, q_loss : 0.09566399455070496
12411/20000, episode_reward : 15, episode_length : 7, CTR : 0.8571428571428571, a_loss : -22.121234893798828, q_loss : 0.07357649505138397
12412/20000, episode_reward : 99, episode_length : 37, CTR : 0.8378378378378378, a_loss : -18.720489501953125, q_loss : 0.1110159158706665
12413/20000, episode_reward : 70, episode_length : 17, CTR : 0.8235294117647058, a_loss : -21.815961837768555, q_loss : 0.1098385751247406
12414/20000, episode_reward : 8, episode_length : 4, CTR : 0.5, a_loss : -26.38922119140625, q_loss : 0.08434313535690308
12415/20000, episode_reward : 108, episode_length : 29, CTR : 0.7586206896551724, a_loss : -23.535381317138672, q_loss : 0.07281036674976349
12416/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -23.89543342590332, q_loss : 0.10108411312103271
12417/20000, episode_reward : 20, episode_length : 5, CTR : 1.0, a_loss : -21.736621856689453, q_loss : 0.05747587978839874
12418/20000, episode_reward : 23, episode_length : 31, CTR : 0.12903225806451613, a_loss : -20.935386657714844, q_loss : 0.0781869888305664
12419/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -20.47319221496582, q_loss : 0.11218353360891342
12420/20000, episode_reward : 21, episode_length : 12, CTR : 0.6666666666666666, a_loss : -23.05255126953125, q_loss : 0.09282062947750092
12421/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -20.018505096435547, q_loss : 0.08858276903629303
12422/20000, episode_reward : 38, episode_length : 9, CTR : 0.8888888888888888, a_loss : -20.147092819213867, q_loss : 0.11634834110736847
12423/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -24.078838348388672, q_loss : 0.0989300012588501
12424/20000, episode_reward : 11, episode_length : 3, CTR : 1.0, a_loss : -21.687183380126953, q_loss : 0.12150110304355621
12425/20000, episode_reward : 8, episode_length : 3, CTR : 1.0, a_loss : -23.088348388671875, q_loss : 0.14617270231246948
12426/20000, episode_reward : 2, episode_length : 2, CTR : 1.0, a_loss : -26.186405181884766, q_loss : 0.07808190584182739
12427/20000, episode_reward : 12, episode_length : 4, CTR : 1.0, a_loss : -25.71428680419922, q_loss : 0.0741099864244461
12428/20000, episode_reward : 3, episode_length : 2, CTR : 1.0, a_loss : -26.794713973999023, q_loss : 0.10479158163070679
12429/20000, episode_reward : 13, episode_length : 3, CTR : 1.0, a_loss : -28.219411849975586, q_loss : 0.07732350379228592
12430/20000, episode_reward : 315, episode_length : 74, CTR : 0.9324324324324325, a_loss : -22.14653778076172, q_loss : 0.06439454853534698
12431/20000, episode_reward : 23, episode_length : 4, CTR : 1.0, a_loss : -21.623607635498047, q_loss : 0.10918328911066055
12432/20000, episode_reward : 15, episode_length : 4, CTR : 1.0, a_loss : -25.965545654296875, q_loss : 0.1412239521741867
12433/20000, episode_reward : 8, episode_length : 3, CTR : 0.6666666666666666, a_loss : -24.453784942626953, q_loss : 0.11783794313669205
12434/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -23.60540008544922, q_loss : 0.0808725655078888
12435/20000, episode_reward : 62, episode_length : 18, CTR : 0.7777777777777778, a_loss : -21.642841339111328, q_loss : 0.06630386412143707
12436/20000, episode_reward : 194, episode_length : 54, CTR : 0.8703703703703703, a_loss : -23.584548950195312, q_loss : 0.11040262877941132
12437/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -21.073564529418945, q_loss : 0.1574714332818985
12438/20000, episode_reward : 39, episode_length : 9, CTR : 0.8888888888888888, a_loss : -21.700817108154297, q_loss : 0.24640129506587982
12439/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -21.841567993164062, q_loss : 0.08120772987604141
12440/20000, episode_reward : 95, episode_length : 25, CTR : 0.84, a_loss : -21.087308883666992, q_loss : 0.1914396584033966
12441/20000, episode_reward : 8, episode_length : 4, CTR : 1.0, a_loss : -22.532318115234375, q_loss : 0.1264549344778061
12442/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -19.426048278808594, q_loss : 0.1123705506324768
12443/20000, episode_reward : 28, episode_length : 4, CTR : 1.0, a_loss : -21.393678665161133, q_loss : 0.15328426659107208
12444/20000, episode_reward : 39, episode_length : 8, CTR : 1.0, a_loss : -21.572471618652344, q_loss : 0.073667973279953
12445/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -20.84305191040039, q_loss : 0.1305164396762848
12446/20000, episode_reward : 27, episode_length : 6, CTR : 1.0, a_loss : -17.635501861572266, q_loss : 0.12121322751045227
12447/20000, episode_reward : 23, episode_length : 6, CTR : 1.0, a_loss : -19.614742279052734, q_loss : 0.16739678382873535
12448/20000, episode_reward : 10, episode_length : 3, CTR : 0.6666666666666666, a_loss : -20.487279891967773, q_loss : 0.08185683935880661
12449/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -20.887012481689453, q_loss : 0.1280624270439148
12450/20000, episode_reward : 8, episode_length : 3, CTR : 1.0, a_loss : -21.052669525146484, q_loss : 0.07656332850456238
12451/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -17.563077926635742, q_loss : 0.09750740230083466
12452/20000, episode_reward : 8, episode_length : 2, CTR : 1.0, a_loss : -24.065711975097656, q_loss : 0.08723631501197815
12453/20000, episode_reward : 46, episode_length : 13, CTR : 0.8461538461538461, a_loss : -23.714155197143555, q_loss : 0.0974363312125206
12454/20000, episode_reward : 5, episode_length : 3, CTR : 0.6666666666666666, a_loss : -21.594099044799805, q_loss : 0.11434265226125717
12455/20000, episode_reward : 26, episode_length : 4, CTR : 0.75, a_loss : -21.925151824951172, q_loss : 0.1016637310385704
12456/20000, episode_reward : 252, episode_length : 48, CTR : 0.9375, a_loss : -23.26970672607422, q_loss : 0.08509793877601624
12457/20000, episode_reward : 20, episode_length : 5, CTR : 0.8, a_loss : -22.862051010131836, q_loss : 0.13317632675170898
12458/20000, episode_reward : 52, episode_length : 13, CTR : 0.8461538461538461, a_loss : -23.826871871948242, q_loss : 0.09370531886816025
12459/20000, episode_reward : 26, episode_length : 5, CTR : 0.8, a_loss : -24.66354751586914, q_loss : 0.08135633170604706
12460/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -21.657451629638672, q_loss : 0.10476937890052795
12461/20000, episode_reward : 9, episode_length : 3, CTR : 1.0, a_loss : -20.07864761352539, q_loss : 0.13443638384342194
12462/20000, episode_reward : 8, episode_length : 2, CTR : 1.0, a_loss : -24.481769561767578, q_loss : 0.09134102612733841
12463/20000, episode_reward : 16, episode_length : 4, CTR : 1.0, a_loss : -22.482139587402344, q_loss : 0.11122556775808334
12464/20000, episode_reward : 359, episode_length : 75, CTR : 0.7066666666666667, a_loss : -20.470775604248047, q_loss : 0.10650168359279633
12465/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -20.812437057495117, q_loss : 0.0897277444601059
12466/20000, episode_reward : 16, episode_length : 2, CTR : 1.0, a_loss : -23.16012191772461, q_loss : 0.1372479647397995
12467/20000, episode_reward : 24, episode_length : 8, CTR : 0.75, a_loss : -17.023944854736328, q_loss : 0.07882564514875412
12468/20000, episode_reward : 39, episode_length : 9, CTR : 0.8888888888888888, a_loss : -21.056251525878906, q_loss : 0.13395962119102478
12469/20000, episode_reward : 9, episode_length : 2, CTR : 1.0, a_loss : -20.632610321044922, q_loss : 0.08198735862970352
12470/20000, episode_reward : 15, episode_length : 4, CTR : 1.0, a_loss : -21.766510009765625, q_loss : 0.19093984365463257
12471/20000, episode_reward : 19, episode_length : 5, CTR : 1.0, a_loss : -21.128461837768555, q_loss : 0.06792331486940384
12472/20000, episode_reward : 81, episode_length : 25, CTR : 0.96, a_loss : -24.1325626373291, q_loss : 0.12556037306785583
12473/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -21.536184310913086, q_loss : 0.10529399663209915
12474/20000, episode_reward : 12, episode_length : 5, CTR : 0.8, a_loss : -26.748615264892578, q_loss : 0.10083651542663574
12475/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -21.339515686035156, q_loss : 0.10765242576599121
12476/20000, episode_reward : 132, episode_length : 33, CTR : 0.8484848484848485, a_loss : -21.964340209960938, q_loss : 0.11060917377471924
12477/20000, episode_reward : 21, episode_length : 6, CTR : 0.8333333333333334, a_loss : -20.68954849243164, q_loss : 0.10826805233955383
12478/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -22.468971252441406, q_loss : 0.1186956912279129
12479/20000, episode_reward : 16, episode_length : 2, CTR : 1.0, a_loss : -21.581493377685547, q_loss : 0.13785675168037415
12480/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -25.657405853271484, q_loss : 0.0849233865737915
12481/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -19.314870834350586, q_loss : 0.13539773225784302
12482/20000, episode_reward : 4, episode_length : 2, CTR : 0.5, a_loss : -22.594131469726562, q_loss : 0.10171803832054138
12483/20000, episode_reward : 5, episode_length : 8, CTR : 0.625, a_loss : -21.26422119140625, q_loss : 0.10165369510650635
12484/20000, episode_reward : 8, episode_length : 3, CTR : 0.6666666666666666, a_loss : -24.096715927124023, q_loss : 0.10715160518884659
12485/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -20.647659301757812, q_loss : 0.1467396467924118
12486/20000, episode_reward : 36, episode_length : 8, CTR : 0.75, a_loss : -23.90618896484375, q_loss : 0.0706549733877182
12487/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -20.616384506225586, q_loss : 0.0487997904419899
12488/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -22.252904891967773, q_loss : 0.08091282844543457
12489/20000, episode_reward : 168, episode_length : 46, CTR : 0.8478260869565217, a_loss : -25.755329132080078, q_loss : 0.1565680354833603
12490/20000, episode_reward : 20, episode_length : 5, CTR : 1.0, a_loss : -18.209819793701172, q_loss : 0.14530137181282043
12491/20000, episode_reward : 43, episode_length : 10, CTR : 0.9, a_loss : -25.756149291992188, q_loss : 0.10134559124708176
12492/20000, episode_reward : 8, episode_length : 2, CTR : 1.0, a_loss : -23.99767303466797, q_loss : 0.13641254603862762
12493/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -22.718280792236328, q_loss : 0.39962559938430786
12494/20000, episode_reward : 162, episode_length : 46, CTR : 0.8913043478260869, a_loss : -21.902231216430664, q_loss : 0.0933833122253418
12495/20000, episode_reward : 25, episode_length : 10, CTR : 1.0, a_loss : -22.8380069732666, q_loss : 0.07346571981906891
12496/20000, episode_reward : 38, episode_length : 11, CTR : 0.9090909090909091, a_loss : -21.70069694519043, q_loss : 0.10721715539693832
12497/20000, episode_reward : 20, episode_length : 5, CTR : 1.0, a_loss : -21.024133682250977, q_loss : 0.11664088815450668
12498/20000, episode_reward : 12, episode_length : 6, CTR : 0.5, a_loss : -21.174741744995117, q_loss : 0.0803757905960083
12499/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -22.47280502319336, q_loss : 0.10417810082435608
12500/20000, episode_reward : 38, episode_length : 9, CTR : 0.8888888888888888, a_loss : -26.371095657348633, q_loss : 0.09953949600458145
12501/20000, episode_reward : 9, episode_length : 2, CTR : 1.0, a_loss : -22.044921875, q_loss : 0.07107505202293396
12502/20000, episode_reward : 3, episode_length : 4, CTR : 0.75, a_loss : -22.060644149780273, q_loss : 0.10266297310590744
12503/20000, episode_reward : 9, episode_length : 2, CTR : 1.0, a_loss : -23.565475463867188, q_loss : 0.08331306278705597
12504/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -22.110794067382812, q_loss : 0.0590943917632103
12505/20000, episode_reward : 6, episode_length : 2, CTR : 1.0, a_loss : -23.47218894958496, q_loss : 0.0979275032877922
12506/20000, episode_reward : 12, episode_length : 5, CTR : 1.0, a_loss : -20.370071411132812, q_loss : 0.11560946702957153
12507/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -22.722549438476562, q_loss : 0.09760260581970215
12508/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -21.45154571533203, q_loss : 0.058644335716962814
12509/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -21.182373046875, q_loss : 0.13872113823890686
12510/20000, episode_reward : 119, episode_length : 29, CTR : 0.896551724137931, a_loss : -22.937097549438477, q_loss : 0.08444277942180634
12511/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -23.621618270874023, q_loss : 0.10102050006389618
12512/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -22.705930709838867, q_loss : 0.14027735590934753
12513/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -23.719135284423828, q_loss : 0.10630717873573303
12514/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -23.161893844604492, q_loss : 0.13142579793930054
12515/20000, episode_reward : 32, episode_length : 5, CTR : 0.8, a_loss : -26.172012329101562, q_loss : 0.14513108134269714
12516/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -24.47618865966797, q_loss : 0.12841960787773132
12517/20000, episode_reward : 34, episode_length : 8, CTR : 1.0, a_loss : -22.58948516845703, q_loss : 0.11349137127399445
12518/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -19.177780151367188, q_loss : 0.0781034529209137
12519/20000, episode_reward : 5, episode_length : 2, CTR : 1.0, a_loss : -24.079086303710938, q_loss : 0.13698959350585938
12520/20000, episode_reward : 16, episode_length : 4, CTR : 1.0, a_loss : -21.42820930480957, q_loss : 0.0877600908279419
12521/20000, episode_reward : 8, episode_length : 1, CTR : 1.0, a_loss : -18.431222915649414, q_loss : 0.10890671610832214
12522/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -23.929122924804688, q_loss : 0.1399746984243393
12523/20000, episode_reward : 62, episode_length : 23, CTR : 0.7391304347826086, a_loss : -23.80409049987793, q_loss : 0.14417263865470886
12524/20000, episode_reward : 11, episode_length : 4, CTR : 1.0, a_loss : -20.915771484375, q_loss : 0.12129367142915726
12525/20000, episode_reward : 7, episode_length : 3, CTR : 0.6666666666666666, a_loss : -18.78752899169922, q_loss : 0.14209789037704468
12526/20000, episode_reward : 35, episode_length : 9, CTR : 0.7777777777777778, a_loss : -21.01864242553711, q_loss : 0.08709444850683212
12527/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -24.715429306030273, q_loss : 0.08064649999141693
12528/20000, episode_reward : 56, episode_length : 15, CTR : 0.6666666666666666, a_loss : -22.229665756225586, q_loss : 0.14054590463638306
12529/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -22.830657958984375, q_loss : 0.053436681628227234
12530/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -20.283222198486328, q_loss : 0.04269002750515938
12531/20000, episode_reward : 12, episode_length : 3, CTR : 1.0, a_loss : -20.88283920288086, q_loss : 0.11324556916952133
12532/20000, episode_reward : 2, episode_length : 4, CTR : 0.25, a_loss : -20.197635650634766, q_loss : 0.09174267947673798
12533/20000, episode_reward : 1, episode_length : 4, CTR : 0.25, a_loss : -21.813274383544922, q_loss : 0.09429918229579926
12534/20000, episode_reward : 130, episode_length : 40, CTR : 0.725, a_loss : -21.80854606628418, q_loss : 0.0866076797246933
12535/20000, episode_reward : 40, episode_length : 8, CTR : 0.625, a_loss : -23.332626342773438, q_loss : 0.08301470428705215
12536/20000, episode_reward : 8, episode_length : 4, CTR : 1.0, a_loss : -22.796634674072266, q_loss : 0.10696811974048615
12537/20000, episode_reward : 6, episode_length : 8, CTR : 0.375, a_loss : -24.22589874267578, q_loss : 0.18454380333423615
12538/20000, episode_reward : 22, episode_length : 5, CTR : 1.0, a_loss : -22.753612518310547, q_loss : 0.059973061084747314
12539/20000, episode_reward : 148, episode_length : 35, CTR : 0.8285714285714286, a_loss : -23.663997650146484, q_loss : 0.10015343874692917
12540/20000, episode_reward : 50, episode_length : 14, CTR : 0.8571428571428571, a_loss : -24.471466064453125, q_loss : 0.06589148193597794
12541/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -23.727338790893555, q_loss : 0.1165752187371254
12542/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -21.57313346862793, q_loss : 0.1309312880039215
12543/20000, episode_reward : 40, episode_length : 8, CTR : 1.0, a_loss : -20.416221618652344, q_loss : 0.1093503087759018
12544/20000, episode_reward : 28, episode_length : 10, CTR : 0.7, a_loss : -22.43538475036621, q_loss : 0.1212158128619194
12545/20000, episode_reward : 76, episode_length : 17, CTR : 0.9411764705882353, a_loss : -24.977596282958984, q_loss : 0.12190075218677521
12546/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -25.615968704223633, q_loss : 0.13228926062583923
12547/20000, episode_reward : 73, episode_length : 21, CTR : 0.6666666666666666, a_loss : -19.812334060668945, q_loss : 0.07620896399021149
12548/20000, episode_reward : 89, episode_length : 28, CTR : 0.75, a_loss : -23.818767547607422, q_loss : 0.07668232172727585
12549/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -23.853343963623047, q_loss : 0.1998293399810791
12550/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -24.11374855041504, q_loss : 0.13975892961025238
12551/20000, episode_reward : 20, episode_length : 3, CTR : 1.0, a_loss : -23.227432250976562, q_loss : 0.09114985167980194
12552/20000, episode_reward : 355, episode_length : 87, CTR : 0.8735632183908046, a_loss : -20.241024017333984, q_loss : 0.1589563637971878
12553/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -23.268098831176758, q_loss : 0.12203754484653473
12554/20000, episode_reward : 54, episode_length : 12, CTR : 1.0, a_loss : -22.71965217590332, q_loss : 0.1635044813156128
12555/20000, episode_reward : 273, episode_length : 75, CTR : 0.8, a_loss : -21.266605377197266, q_loss : 0.127935528755188
12556/20000, episode_reward : 22, episode_length : 5, CTR : 1.0, a_loss : -24.298965454101562, q_loss : 0.1259990781545639
12557/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -23.09497833251953, q_loss : 0.06975710391998291
12558/20000, episode_reward : 348, episode_length : 95, CTR : 0.7789473684210526, a_loss : -24.290302276611328, q_loss : 0.14354917407035828
12559/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -24.997987747192383, q_loss : 0.11335845291614532
12560/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -26.08708953857422, q_loss : 0.12071499228477478
12561/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -23.022441864013672, q_loss : 0.1047259271144867
12562/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -25.758316040039062, q_loss : 0.08816780894994736
12563/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -24.18486785888672, q_loss : 0.11898812651634216
12564/20000, episode_reward : 9, episode_length : 2, CTR : 1.0, a_loss : -22.37580108642578, q_loss : 0.14570942521095276
12565/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -24.374534606933594, q_loss : 0.09247571229934692
12566/20000, episode_reward : 28, episode_length : 5, CTR : 0.8, a_loss : -24.323394775390625, q_loss : 0.12305839359760284
12567/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -27.801597595214844, q_loss : 0.0990288108587265
12568/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -24.949604034423828, q_loss : 0.06289318948984146
12569/20000, episode_reward : 4, episode_length : 1, CTR : 1.0, a_loss : -23.035112380981445, q_loss : 0.11266796290874481
12570/20000, episode_reward : 13, episode_length : 8, CTR : 0.75, a_loss : -22.192474365234375, q_loss : 0.08415605127811432
