0/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : 0, q_loss : 0
96/20000, episode_reward : 10, episode_length : 2, CTR : 0.5, a_loss : -0.4806388318538666, q_loss : 0.01759091019630432
97/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.39356106519699097, q_loss : 0.010613788850605488
98/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.33789458870887756, q_loss : 0.009536739438772202
99/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.3913212716579437, q_loss : 0.010175172239542007
100/20000, episode_reward : 10, episode_length : 27, CTR : 0.18518518518518517, a_loss : -0.6493063569068909, q_loss : 0.08995137363672256
101/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.566417932510376, q_loss : 0.022741636261343956
102/20000, episode_reward : 1, episode_length : 7, CTR : 0.14285714285714285, a_loss : -0.19262707233428955, q_loss : 0.0796794667840004
103/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.25940483808517456, q_loss : 0.0264290664345026
104/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : -0.41270387172698975, q_loss : 0.013901187106966972
105/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.4884476065635681, q_loss : 0.015179730020463467
106/20000, episode_reward : 10, episode_length : 3, CTR : 0.3333333333333333, a_loss : -0.3490619659423828, q_loss : 0.019317828118801117
107/20000, episode_reward : 1, episode_length : 9, CTR : 0.1111111111111111, a_loss : -0.8073499202728271, q_loss : 0.032472558319568634
108/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.4492662250995636, q_loss : 0.15764832496643066
109/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.2074330747127533, q_loss : 0.07899998128414154
110/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.4115780293941498, q_loss : 0.017084646970033646
111/20000, episode_reward : 2, episode_length : 8, CTR : 0.125, a_loss : -0.3737373948097229, q_loss : 0.13104522228240967
112/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : -0.7400876879692078, q_loss : 0.13452523946762085
113/20000, episode_reward : 1, episode_length : 5, CTR : 0.2, a_loss : -0.48580461740493774, q_loss : 0.08657655119895935
114/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.43719327449798584, q_loss : 0.08900167793035507
115/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.4908735156059265, q_loss : 0.02309066615998745
116/20000, episode_reward : 2, episode_length : 27, CTR : 0.07407407407407407, a_loss : -0.5297956466674805, q_loss : 0.08657343685626984
117/20000, episode_reward : 2, episode_length : 9, CTR : 0.1111111111111111, a_loss : -0.8171858787536621, q_loss : 0.09089228510856628
118/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.720748245716095, q_loss : 0.08908283710479736
119/20000, episode_reward : 2, episode_length : 11, CTR : 0.09090909090909091, a_loss : -0.5775972604751587, q_loss : 0.03008429892361164
120/20000, episode_reward : 1, episode_length : 12, CTR : 0.08333333333333333, a_loss : -0.5240151882171631, q_loss : 0.03710223361849785
121/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.22943849861621857, q_loss : 0.015282312408089638
122/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.3538770377635956, q_loss : 0.06822505593299866
123/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.3858081102371216, q_loss : 0.019071415066719055
124/20000, episode_reward : 4, episode_length : 6, CTR : 0.16666666666666666, a_loss : -0.45070451498031616, q_loss : 0.025358911603689194
125/20000, episode_reward : 7, episode_length : 8, CTR : 0.375, a_loss : -0.2368481457233429, q_loss : 0.009478897787630558
126/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.2635496258735657, q_loss : 0.009133120067417622
127/20000, episode_reward : 11, episode_length : 10, CTR : 0.3, a_loss : -0.7896350622177124, q_loss : 0.10525515675544739
128/20000, episode_reward : 1, episode_length : 8, CTR : 0.125, a_loss : -0.24915477633476257, q_loss : 0.020919986069202423
129/20000, episode_reward : 4, episode_length : 28, CTR : 0.10714285714285714, a_loss : -0.11926645040512085, q_loss : 0.03375260904431343
130/20000, episode_reward : 0, episode_length : 11, CTR : 0.0, a_loss : -0.8039202690124512, q_loss : 0.014777478761970997
131/20000, episode_reward : 1, episode_length : 11, CTR : 0.09090909090909091, a_loss : -0.5368003249168396, q_loss : 0.02452578768134117
132/20000, episode_reward : 0, episode_length : 8, CTR : 0.0, a_loss : -0.8843627572059631, q_loss : 0.0343298614025116
133/20000, episode_reward : 41, episode_length : 64, CTR : 0.265625, a_loss : -1.3195431232452393, q_loss : 0.11157283186912537
134/20000, episode_reward : 7, episode_length : 7, CTR : 0.42857142857142855, a_loss : -0.8608126640319824, q_loss : 0.058245059102773666
135/20000, episode_reward : 8, episode_length : 4, CTR : 0.75, a_loss : -0.9189104437828064, q_loss : 0.03514120727777481
136/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -1.3111439943313599, q_loss : 0.05058647319674492
137/20000, episode_reward : 2, episode_length : 7, CTR : 0.14285714285714285, a_loss : -2.1954216957092285, q_loss : 0.08365780860185623
138/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -1.4220762252807617, q_loss : 0.03443856164813042
139/20000, episode_reward : 62, episode_length : 33, CTR : 0.5757575757575758, a_loss : -1.733902931213379, q_loss : 0.11188320070505142
140/20000, episode_reward : 1, episode_length : 3, CTR : 0.3333333333333333, a_loss : -1.5921285152435303, q_loss : 0.11243361979722977
141/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -1.4463231563568115, q_loss : 0.0955919474363327
142/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -1.237450122833252, q_loss : 0.07528959214687347
143/20000, episode_reward : 1, episode_length : 3, CTR : 0.3333333333333333, a_loss : -1.2693309783935547, q_loss : 0.04130616784095764
144/20000, episode_reward : 4, episode_length : 4, CTR : 0.25, a_loss : -1.2814815044403076, q_loss : 0.08451107144355774
145/20000, episode_reward : 1, episode_length : 5, CTR : 0.2, a_loss : -1.062135934829712, q_loss : 0.08499545603990555
146/20000, episode_reward : 17, episode_length : 17, CTR : 0.29411764705882354, a_loss : -1.209423542022705, q_loss : 0.10128554701805115
147/20000, episode_reward : 9, episode_length : 3, CTR : 0.6666666666666666, a_loss : -1.4361939430236816, q_loss : 0.029737800359725952
148/20000, episode_reward : 17, episode_length : 5, CTR : 0.8, a_loss : -1.2319691181182861, q_loss : 0.044627878814935684
149/20000, episode_reward : 44, episode_length : 44, CTR : 0.4090909090909091, a_loss : -1.663806676864624, q_loss : 0.041707754135131836
150/20000, episode_reward : 19, episode_length : 22, CTR : 0.2727272727272727, a_loss : -1.941163420677185, q_loss : 0.05731337144970894
151/20000, episode_reward : 8, episode_length : 8, CTR : 0.5, a_loss : -1.3741477727890015, q_loss : 0.09869364649057388
152/20000, episode_reward : 5, episode_length : 4, CTR : 0.25, a_loss : -1.2877142429351807, q_loss : 0.05742090940475464
153/20000, episode_reward : 15, episode_length : 8, CTR : 0.625, a_loss : -1.5307281017303467, q_loss : 0.07673091441392899
154/20000, episode_reward : 106, episode_length : 75, CTR : 0.4, a_loss : -1.8267452716827393, q_loss : 0.0520622581243515
155/20000, episode_reward : 6, episode_length : 7, CTR : 0.2857142857142857, a_loss : -1.7998486757278442, q_loss : 0.07076139748096466
156/20000, episode_reward : 5, episode_length : 8, CTR : 0.25, a_loss : -1.652466893196106, q_loss : 0.03671520948410034
157/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -2.1772985458374023, q_loss : 0.0908435583114624
158/20000, episode_reward : 8, episode_length : 5, CTR : 0.6, a_loss : -2.3123443126678467, q_loss : 0.06344452500343323
159/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -2.0543723106384277, q_loss : 0.07588748633861542
160/20000, episode_reward : 7, episode_length : 3, CTR : 0.3333333333333333, a_loss : -2.1232357025146484, q_loss : 0.04278403893113136
161/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -2.0114612579345703, q_loss : 0.05299295857548714
162/20000, episode_reward : 7, episode_length : 4, CTR : 1.0, a_loss : -1.9932808876037598, q_loss : 0.09924706071615219
163/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -1.9060643911361694, q_loss : 0.13767944276332855
164/20000, episode_reward : 2, episode_length : 6, CTR : 0.16666666666666666, a_loss : -2.1245346069335938, q_loss : 0.09781207144260406
165/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -1.7414494752883911, q_loss : 0.07340896874666214
166/20000, episode_reward : 4, episode_length : 3, CTR : 1.0, a_loss : -1.9878166913986206, q_loss : 0.1412692666053772
167/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -1.9286845922470093, q_loss : 0.0929986834526062
168/20000, episode_reward : 2, episode_length : 3, CTR : 0.3333333333333333, a_loss : -1.7544631958007812, q_loss : 0.07675739377737045
169/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -1.6384251117706299, q_loss : 0.07443438470363617
170/20000, episode_reward : 42, episode_length : 27, CTR : 0.48148148148148145, a_loss : -2.380671501159668, q_loss : 0.05336221307516098
171/20000, episode_reward : 10, episode_length : 10, CTR : 0.6, a_loss : -2.5320422649383545, q_loss : 0.06876619160175323
172/20000, episode_reward : 11, episode_length : 13, CTR : 0.23076923076923078, a_loss : -2.3067121505737305, q_loss : 0.04330986738204956
173/20000, episode_reward : 2, episode_length : 5, CTR : 0.2, a_loss : -1.723097324371338, q_loss : 0.06348176300525665
174/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -1.8078631162643433, q_loss : 0.09069934487342834
175/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -2.034496307373047, q_loss : 0.09785283356904984
176/20000, episode_reward : 6, episode_length : 13, CTR : 0.15384615384615385, a_loss : -2.13980770111084, q_loss : 0.0622047483921051
177/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -1.7754429578781128, q_loss : 0.0603615902364254
178/20000, episode_reward : 63, episode_length : 69, CTR : 0.34782608695652173, a_loss : -1.8497705459594727, q_loss : 0.0772901326417923
179/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -2.0264956951141357, q_loss : 0.03478025645017624
180/20000, episode_reward : 3, episode_length : 9, CTR : 0.2222222222222222, a_loss : -2.266350030899048, q_loss : 0.03559921681880951
181/20000, episode_reward : 13, episode_length : 8, CTR : 0.375, a_loss : -2.1245174407958984, q_loss : 0.08436302840709686
182/20000, episode_reward : 13, episode_length : 9, CTR : 0.6666666666666666, a_loss : -2.3015599250793457, q_loss : 0.051427632570266724
183/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -2.2593119144439697, q_loss : 0.06368547677993774
184/20000, episode_reward : 2, episode_length : 3, CTR : 0.3333333333333333, a_loss : -1.9747412204742432, q_loss : 0.08604590594768524
185/20000, episode_reward : 5, episode_length : 2, CTR : 1.0, a_loss : -1.6082217693328857, q_loss : 0.052906278520822525
186/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : -2.2012276649475098, q_loss : 0.11881479620933533
187/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -2.0967366695404053, q_loss : 0.12235729396343231
188/20000, episode_reward : 98, episode_length : 56, CTR : 0.5178571428571429, a_loss : -1.5577099323272705, q_loss : 0.05284076929092407
189/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -1.589461326599121, q_loss : 0.0419703908264637
190/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -1.4829548597335815, q_loss : 0.0885031595826149
